#SampleID,Taxa,Sampling Dates,Season,Type_of_Nucleic_Acid,Type_of_Nucleic_Acid_NACLOSED,DNA_noCLosed,RNA_noCLosed,Description
AP-DNA-1-Jan-Winter,AP-DNA-1_S1_blast.txt,20 January 2014-17 February 2014,Winter,DNA,DNA,DNA,NA,AP-DNA-1-Jan-Winter
AP-DNA-10-Sep-Fall,AP-DNA-10_S2_blast.txt,29 September 2014-27 October 2014,Fall ,DNA,DNA,DNA,NA,AP-DNA-10-Sep-Fall
AP-DNA-11-Oct-Fall,AP-DNA-11_S3_blast.txt,27 October 2014-24 November 2014,Fall ,DNA,DNA,DNA,NA,AP-DNA-11-Oct-Fall
AP-DNA-12-Nov-Winter,AP-DNA-12_S4_blast.txt,24 November 2014-23 December 2014,Winter,DNA,DNA,DNA,NA,AP-DNA-12-Nov-Winter
AP-DNA-13-Jan-Winter,AP-DNA-13_S5_blast.txt,05 Janurary 2015-02 February 2015,Winter,DNA,DNA,DNA,NA,AP-DNA-13-Jan-Winter
AP-DNA-14-Dec-Closed,AP-DNA-14_S6_blast.txt,23 December 2014-05 January 2015,Closed,DNA,DNA,NA,NA,AP-DNA-14-Dec-Closed
AP-DNA-15-NA-NA,AP-DNA-15_S7_blast.txt,Unexposed Filter,NA,DNA,DNA,NA,NA,AP-DNA-15-NA-NA
AP-DNA-16-NA-NA,AP-DNA-16_S8_blast.txt,Negative Control,NA,DNA,DNA,NA,NA,AP-DNA-16-NA-NA
AP-DNA-2-Feb-Winter,AP-DNA-2_S9_blast.txt,17 February 2014-17 March 2014,Winter,DNA,DNA,DNA,NA,AP-DNA-2-Feb-Winter
AP-DNA-3-Mar-Spring,AP-DNA-3_S10_blast.txt,17 March 2014- 14 April 2014,Spring,DNA,DNA,DNA,NA,AP-DNA-3-Mar-Spring
AP-DNA-4-Apr-Spring,AP-DNA-4_S11_blast.txt,14 April 2014-12 May 2014,Spring,DNA,DNA,DNA,NA,AP-DNA-4-Apr-Spring
AP-DNA-5-May-Spring,AP-DNA-5_S12_blast.txt,12 May 2014-09 June 2014,Spring,DNA,DNA,DNA,NA,AP-DNA-5-May-Spring
AP-DNA-6-Jun-Summer,AP-DNA-6_S13_blast.txt,09 June 2014-07 July 2014,Summer,DNA,DNA,DNA,NA,AP-DNA-6-Jun-Summer
AP-DNA-7-July-Summer,AP-DNA-7_S14_blast.txt,07 July 2014-04 August 2014,Summer,DNA,DNA,DNA,NA,AP-DNA-7-July-Summer
AP-DNA-8-Aug-Summer,AP-DNA-8_S15_blast.txt,04 August 2014-02 September 2014,Summer,DNA,DNA,DNA,NA,AP-DNA-8-Aug-Summer
AP-DNA-9-Sep-Fall,AP-DNA-9_S16_blast.txt,02 September 2014-29 September 2014,Fall ,DNA,DNA,DNA,NA,AP-DNA-9-Sep-Fall
AP-RNA-1-Jan-Winter,AP-RNA-1_S1_blast.txt,20 January 2014-17 February 2014,Winter,RNA,RNA,NA,RNA,AP-RNA-1-Jan-Winter
AP-RNA-10-Sep-Fall,AP-RNA-10_S2_blast.txt,29 September 2014-27 October 2014,Fall ,RNA,RNA,NA,RNA,AP-RNA-10-Sep-Fall
AP-RNA-11-Oct-Fall,AP-RNA-11_S3_blast.txt,27 October 2014-24 November 2014,Fall ,RNA,RNA,NA,RNA,AP-RNA-11-Oct-Fall
AP-RNA-12-Nov-Winter,AP-RNA-12_S4_blast.txt,24 November 2014-23 December 2014,Winter,RNA,RNA,NA,RNA,AP-RNA-12-Nov-Winter
AP-RNA-13-Jan-Winter,AP-RNA-13_S5_blast.txt,05 Janurary 2015-02 February 2015,Winter,RNA,RNA,NA,RNA,AP-RNA-13-Jan-Winter
AP-RNA-14-Dec-Closed,AP-RNA-14_S6_blast.txt,23 December 2014-05 January 2015,Closed,RNA,RNA,NA,NA,AP-RNA-14-Dec-Closed
AP-RNA-15-NA-NA,AP-RNA-15_S7_blast.txt,Unexposed Filter,NA,RNA,RNA,NA,NA,AP-RNA-15-NA-NA
AP-RNA-16-NA-NA,AP-RNA-16_S8_blast.txt,Negative Control,NA,RNA,RNA,NA,NA,AP-RNA-16-NA-NA
AP-RNA-2-Feb-Winter,AP-RNA-2_S9_blast.txt,17 February 2014-17 March 2014,Winter,RNA,RNA,NA,RNA,AP-RNA-2-Feb-Winter
AP-RNA-3-Mar-Spring,AP-RNA-3_S10_blast.txt,17 March 2014- 14 April 2014,Spring,RNA,RNA,NA,RNA,AP-RNA-3-Mar-Spring
AP-RNA-4-Apr-Spring,AP-RNA-4_S11_blast.txt,14 April 2014-12 May 2014,Spring,RNA,RNA,NA,RNA,AP-RNA-4-Apr-Spring
AP-RNA-5-May-Spring,AP-RNA-5_S12_blast.txt,12 May 2014-09 June 2014,Spring,RNA,RNA,NA,RNA,AP-RNA-5-May-Spring
AP-RNA-6-Jun-Summer,AP-RNA-6_S13_blast.txt,09 June 2014-07 July 2014,Summer,RNA,RNA,NA,RNA,AP-RNA-6-Jun-Summer
AP-RNA-7-Jul-Summer,AP-RNA-7_S14_blast.txt,07 July 2014-04 August 2014,Summer,RNA,RNA,NA,RNA,AP-RNA-7-Jul-Summer
AP-RNA-8-Aug-Summer,AP-RNA-8_S15_blast.txt,04 August 2014-02 September 2014,Summer,RNA,RNA,NA,RNA,AP-RNA-8-Aug-Summer
AP-RNA-9-Sep-Fall,AP-RNA-9_S16_blast.txt,02 September 2014-29 September 2014,Fall ,RNA,RNA,NA,RNA,AP-RNA-9-Sep-Fall
