OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
OTU1, Viruses,ssRNA viruses,ssRNA positive-strand viruses no DNA stage,Tymovirales,Alphaflexiviridae,Potexvirus,White clover mosaic virus
OTU2, Viruses,ssRNA viruses,ssRNA positive-strand viruses no DNA stage,Bromoviridae,Bromovirus,Brome mosaic virus,Brome mosaic virus
OTU3, Viruses,ssRNA viruses,ssRNA positive-strand viruses no DNA stage,Bromoviridae,Cucumovirus,Peanut stunt virus,Peanut stunt virus
OTU4, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Spbetavirus,unclassified Spbetalikevirus,Staphylococcus phage SPbeta-like
OTU5, Viruses,ssRNA viruses,ssRNA positive-strand viruses no DNA stage,Virgaviridae,Tobamovirus,Turnip vein-clearing virus,Turnip vein-clearing virus
OTU6, Viruses,dsRNA viruses,Cystoviridae,Cystovirus,Pseudomonas phage phi6,Pseudomonas phage phi6,Pseudomonas phage phi6
OTU7, Viruses,ssRNA viruses,ssRNA positive-strand viruses no DNA stage,Sobemovirus,Ryegrass mottle virus,Ryegrass mottle virus,Ryegrass mottle virus
OTU8, Viruses,Retro-transcribing viruses,Retroviridae,Orthoretrovirinae,Alpharetrovirus,Avian leukosis virus - RSA,Avian leukosis virus - RSA
OTU9, Viruses,Retro-transcribing viruses,Retroviridae,Orthoretrovirinae,Alpharetrovirus,Rous sarcoma virus,Rous sarcoma virus
OTU10, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Lactococcus phage bIL310,Lactococcus phage bIL310,Lactococcus phage bIL310
OTU11, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Lactococcus phage ul36,Lactococcus phage ul36,Lactococcus phage ul36
OTU12, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Streptococcus phage TP-778L,Streptococcus phage TP-778L,Streptococcus phage TP-778L
OTU13, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Lactococcus phage bIL312,Lactococcus phage bIL312,Lactococcus phage bIL312
OTU14, Viruses,unclassified bacterial viruses,Streptococcus phage 20617i,Streptococcus phage 20617i,Streptococcus phage 20617i,Streptococcus phage 20617i,Streptococcus phage 20617i
OTU15, Viruses,ssRNA viruses,ssRNA positive-strand viruses no DNA stage,Tymovirales,Betaflexiviridae,Quinvirinae,Carlavirus-Red clover vein mosaic virus
OTU16, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Lactococcus phage P335 sensu lato,Lactococcus phage P335 sensu lato,Lactococcus phage P335 sensu lato
OTU17, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Lactococcus phage bIL311,Lactococcus phage bIL311,Lactococcus phage bIL311
OTU18, Viruses,ssRNA viruses,ssRNA positive-strand viruses no DNA stage,Virgaviridae,Tobamovirus,Tomato mosaic virus,Tomato mosaic virus
OTU19, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,C2virus,Lactococcus phage M5938,Lactococcus phage M5938
OTU20, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,C2virus,Lactococcus virus bIL67,Lactococcus virus bIL67
OTU21, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,C2virus,Lactococcus virus c2,Lactococcus virus c2
OTU22, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Lactococcus phage bIL309,Lactococcus phage bIL309,Lactococcus phage bIL309
OTU23, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Sfi21dt1virus,Streptococcus phage Abc2,Streptococcus phage Abc2
OTU24, Viruses,dsDNA viruses no RNA stage,Baculoviridae,Betabaculovirus,Pseudaletia unipuncta granulovirus,Pseudaletia unipuncta granulovirus,Pseudaletia unipuncta granulovirus
OTU25, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Lactococcus phage 63301,Lactococcus phage 63301,Lactococcus phage 63301
OTU26, Viruses,unclassified bacterial viruses,environmental samples,uncultured crAssphage,uncultured crAssphage,uncultured crAssphage,uncultured crAssphage
OTU27, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Lactococcus phage bIL286,Lactococcus phage bIL286,Lactococcus phage bIL286
OTU28, Viruses,dsDNA viruses no RNA stage,Baculoviridae,Betabaculovirus,Xestia c-nigrum granulovirus,Xestia c-nigrum granulovirus,Xestia c-nigrum granulovirus
OTU29, Viruses,dsDNA viruses no RNA stage,Caudovirales,Siphoviridae,Staphylococcus phage IME-SA4,Staphylococcus phage IME-SA4,Staphylococcus phage IME-SA4
